Dow Jones Industrial Average,"24,719.22", As of 12/29/2017 ,2017-12-30 15:24:11.648413
S&P 500 Index,"2,673.61", As of 12/29/2017 ,2017-12-30 15:24:11.648493
Dow Jones Industrial Average,"24,719.22", As of 12/29/2017 ,2017-12-30 15:40:26.123474
S&P 500 Index,"2,673.61", As of 12/29/2017 ,2017-12-30 15:40:26.123514
NASDAQ Composite Index,"6,903.39", As of 12/29/2017 ,2017-12-30 15:40:26.123521
Dow Jones Industrial Average,"24,719.22", As of 12/29/2017 ,2017-12-30 15:43:40.412922
S&P 500 Index,"2,673.61", As of 12/29/2017 ,2017-12-30 15:43:40.412962
NASDAQ Composite Index,"6,903.39", As of 12/29/2017 ,2017-12-30 15:43:40.412969
 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 
Dow Jones Industrial Average,"24,719.22", As of 12/29/2017 ,2017-12-30 15:46:06.932559
S&P 500 Index,"2,673.61", As of 12/29/2017 ,2017-12-30 15:46:06.932579
NASDAQ Composite Index,"6,903.39", As of 12/29/2017 ,2017-12-30 15:46:06.932586
